text,class
"Then , within 5 months , the charger crapped out on me.",0
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,0
I love the glass touchpad.,1
I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,1
"Then HP sends it back to me with the hardware screwed up , not able to connect.",0
"Oh yeah , do n't forget the expensive shipping to and from HP.",0
"Everything is so easy to use , Mac software is just so much simpler than Microsoft software.",0
"And if you do a lot of writing , editing is a problem since there is no forward delete key.",0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar -- can not be beat.,0
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours.",0
"Acer has set me up with FREE recovery discs , when they are available since I asked.",1
Enabling the battery timer is useless.,0
"There is no need to purchase virus protection for Mac , which saves me a lot of time and money.",1
"But we had paid for bluetooth , and there was none.",0
"It is always reliable , never bugged and responds well.",0
they had to replace the motherboard in April,0
"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could.",1
I love WIndows 7 which is a vast improvment over Vista.,0
Dell 's customer disservice is an insult to it 's customers who pay good money for shoddy products.,1
"After talking it over with the very knowledgeable sales associate , I chose the MacBook Pro over the white MacBook.",1
"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple;",0
You wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,0
It 's color is even cool.,0
keys are all in weird places and is way too large for the way it is designed.,0
"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor.",0
"And not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying.",0
"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",0
"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard.",0
"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity.",0
"It absolutely is more expensive than most PC laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag.",0
"It gets stuck all of the time you use it , and you have to keep tapping on it to get it to work.",0
lots of preloaded software.,0
"I wish it had a webcam though , then it would be perfect!",1
Another thing I might add is the battery life is excellent.,1
"One drawback , I wish the keys were backlit.",1
I wish the volume could be louder and the mouse didnt break after only a month.,1
"I play a lot of casual games online , and the touchpad is very responsive.",1
"It is everything I 'd hoped it would be from a look and feel standpoint , but somehow a bit more sturdy.",1
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,1
"Great battery , speed , display.",0
"The delivery was fast , and I would not hesitate to purchase this laptop again.",1
I 've been impressed with the battery life and the performance for such a small amount of memory.,1
"It 's applications are terrific , including the replacements for Microsoft office.",0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",1
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,0
"My dad has one of the very first Toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet!",1
Mostly I love the drag and drop feature.,1
"oh yeah , and if the fancy webcam breaks guess who you have to send it to to get it fixed?",0
"I ordered through MacMall , which saved me the sales tax I would have incurred buying locally.",1
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie.",1
The screen is very large and crystal clear with amazing colors and resolution.,0
"After a little more than a year of owning my MacBook Pro , the monitor has completely died.",0
"The brand of iTunes has just become ingrained in our lexicon now , but keep in mind that Apple started it all.",0
"Size : I know 13 is small ( especially for a desktop replacement ) but with an external monitor , who cares.",1
"The display is incredibly bright , much brighter than my PowerBook and very crisp.",0
The start menu is not the easiest thing to navigate due to the stacking.,0
Really like the textured surface which shows no fingerprints.,0
The screen is bright and the keyboard is nice;,0
But the machine is awesome and iLife is great and I love Snow Leopard X.,1
"I thought learning the Mac OS would be hard , but it is easily picked up if you are familiar with a PC.",1
It is easy to use and lightweight.,0
They also have a longer service life than other computers ( I have several friends who still use the older Apple PowerBooks).,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,0
This laptop is a great price and has a sleek look.,0
I especially like the keyboard which has chiclet type keys.,1
I bought a protector for my key pad and it works great : ),1
The magnetic plug-in power charging power cord is great ( I even put it to the test by accident ) - excellent innovation!,0
"While Apple 's saving grace is the fact that they at least stand behind their products , and their support is great , it would be nice if their products were more reliable to justify the premium.",0
only good thing is the graphics quality.,0
"The other lock-up problems are from a myriad of causes , the most common being a corrupted version of Appleworks which can render the browser useless.",0
The paint wears off easily due to the keyboard being farther back than usual.,0
The store honored their warrenty and made the comment that they do n't even recommend the HP brand because of the problems with their warrentys.,1
"They sent out the box right away for me to send in my computer , they paid postage and whatnot , but when I got my computer back it still was n't running right , and now my CD drive was n't reading anything!",1
But the screen size is not that bad for email and web browsing.,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad.,1
This computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games.,0
"Yeah , of course smarty pants `` fix it now '' ) Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple ( which I promptly did ).",1
The body is a bit cheaply made so it will be interesting to see how long it holds up.,0
"With a mac you do n't have to worry about antivirus software or firewall , it 's so wonderful.",0
"Am very glad I bought it , great netbook , low price.",1
The Apple team also assists you very nicely when choosing which computer is right for you : ),0
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista ( I should have waited the few months to get the next operating system ).",1
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,1
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $ 175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $ 175 and it was fixed.,1
"Fan vents to the side , so no cooling pad needed , great feature!",0
"i use my mac all the time , i love the software , the way it takes a short time to load things , how easy it is to use and most of all how you do n't have to worry about viruses.",1
Wasted me at least 8 hours of installation time.,0
"It has far exceeded my expectations for power , storage , and abilitiy.",0
I am enjoying it and the quality it provides is great!,1
"Suffice it to say , my MacBook Pro keeps me going with its long battery life and blazing speed.",1
"The OS is also very user friendly , even for those that switch from a PC , with a little practice you can take full advantage of this OS!",0
"iTunes is a handy music-management program , and it is essential for anyone with an iPod.",0
the programs are esay to use and are quick to process this computer works like a charm.,0
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,1
Sells for the same as a netbook without sacrificing size.,0
"Windows XP SP2 caused many problems on the computer , so I had to remove it.",1
"this is my second one and the same problem , bad video card unreliable overall , this will be my second time returning this laptop back to best buy.",0
"With awesome graphics and assuring security , it 's perfect!",0
The laptop was very easy to set up.,0
I recommend for word processing and internet users.,1
Since I 've had this computer I 've only used the trackpad because it is so nice and smooth.,1
A longer battery life would have been great - but it meets it 's spec quite easily.,0
"Who could n't love a DVD burner , 80-gigabyte HD , and fairly new graphics chip ? As I soon discovered , though , there is a reason for which similarly-configured Sony and Toshiba machines cost more : they use higher-quality components that are faster , better-configured , and end up lasting a lot longer.",1
"The computer itself was fast , ran smoothly , and had no problems.",0
Like the price and operation.,0
The brand is tarnished in my heart.,1
"This is likely due to poor grounding and isolation between the components , and I 'm hoping that it can be fixed with a ground loop isolator , but I still expected better product quality for this price range.",1
I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.,1
"Once open , the leading edge is razor sharp.",0
Maximum sound is n't nearly as loud as it should be.,0
I loaded windows 7 via Bootcamp and it works flawlessly!,1
"Great Laptop for the price , works well with action pack games.",0
"Although the price is higher then Dell laptops , the Macbooks are worth the dough.",0
So what if the laptops/mobile phones look chic and cool ? The after sales support is terrible.,0
I hate the display screen and I have done everything I could do the change it.,1
I also like the acer arcade but these were reallythe only two things I liked about this laptop.,1
"Have not yet needed any customer support with this yet so to me that is a great thing , which is leaps and bounds ahead of PC in my opinion.",0
"I gave it to my daughter because I just hated the screen , hated that it had no cd drive to at least play cd 's when I wanted to listen to music and do schoolwork.",1
It runs very quiet too which is a plus.,0
but it has a major design flaw.,0
"It was heavy , bulky , and hard to carry because of the size.",0
The games included are very good games.,0
"this computer will last you at least 7 years , thats an amazing life spanned an electronic.",0
"Three , the mac book has advantages over pcs ' with linux based os there is very few problems with system performance when it comes to a mac.",0
A mac is very easy to use and it simply makes sense.,0
It is so much easier to use,0
It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC 's.,0
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software.",0
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,1
"The price premium is a little much , but when you start looking at the features it is worth the added cash.",0
I ca n't say enough of how satisfied I am with their product and help aftermarket.,1
"I connect a LaCie 2Big external drive via the firewire 800 interface , which is useful for Time Machine.",0
"I am overall very pleased with my toshiba satellite , I like the extra features , I love the windows 7 home premium.",1
The battery life was shorter than expected.,0
The keyboard is top notch.,0
"The image is great , and the soud is excelent.",0
"It is well worth the money it cost , Very good investment.",0
"Upgrading from Windows 7 Starter , thru Windows 7 Home Premium , to Windows 7 Professional was a snap;",0
"I had upgraded my old MacBook to Lion , so I kind of knew what I was getting , but had n't been able to enjoy some of the awesome new multi-touch features.",1
"The screen is a little glary , and I hated the clicking buttons , but I got used to them.",1
"Not to mention , the battery life is absolutely amazing.",0
Now for the hardware problems.,0
It 's fast and has excellent battery life.,0
Apple care included.,0
Windows is also rather unsteady on its feet and is susceptible to many bugs.,0
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,0
The only bad part is the size / weight.,0
The little battery that it did have would only last about an hour while just having it on the desktop.,0
I liked the aluminum body.,1
Its good for playing my apps on Facebook or watching movies.,0
"From the build quality to the performance , everything about it has been sub-par from what I would have expected from Apple.",1
"I love the dock where I can simply drop a file ontop of a particular program , and the program will simply open that file.",1
pretty much everything else about the computer is good it just stops working out of no were.,0
It was truly a great computer costing less than one thousand bucks before tax.,0
"Waiting for the i7 was well worth it , great value for the price.",0
Boots up fast and runs great!,0
Lightweight and the screen is beautiful!,0
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great.",0
They say sorry out of warranty.,1
"After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",1
The service I received from Toshiba went above and beyond the call of duty.,1
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc.",0
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,1
The screen shows great colors.,0
"Reason why ? It 's because when you buy it , you know first thing that you will not lose any value for that laptop , the price will stay the same for the next year , and even if Apple does decides to change mode , your laptop value will only drop 10-20 % , unlike PC laptops which drop more than 80 %.",0
"The 17 inch screen is very large , but the computer is very light.",0
"My opinion of Sony has been dropping as fast as the stock market , given their horrible support , but this machine just caused another plunge.",1
"For the Bluetooth to work properly , you must install the Launch Manager on the Drivers/Applications DVD , or it will not show after the reload.",0
I also liked the glass screen.,1
The switchable graphic card is pretty sweet when you want gaming on the laptop.,0
"The battery life has not decreased since I bought it , so i 'm thrilled with that.",1
"When I called Toshiba , they would not do anything and even tried to charge me $ 35 for the phone call , even though they did n't offer any technical support.",1
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,1
Oh and if thats not bad enough it does n't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $ 25 for two cds.,0
The price and features more than met my needs.,0
Skype is just so dang cool with this machine too.,0
"Also , HDD secures inside using rails , and there is only one set on the main hard drive.",0
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,1
Games being the main issue.,0
They say that this will invalidate the warranty on the hard drive ( I do n't really understand why but anyway ).,1
A great computer for light home use and business use.,0
"Also consider the MS Office apps are all trial versions , hope you have your own copies.",0
"Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot Windows.",1
The battery life is amazingly long at 7hrs and 5hrs if you use it.,0
"lightweight , long battery life , excellent transition from PC;",0
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,0
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,1
Came fully loaded - good.,0
"I noticed windows has a new system called Windows 7 , what about us Vista users ? They should get all the bugs out of Vista before investing in a new system.",1
"The only thing that I have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is.",0
This is the complete opposite to an ergonomic design.,0
The only thing that I do n't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,1
"Wireless has not been a issue for me , like some others have meantioned.",1
"MacBook Notebooks quickly die out because of their short battery life , as well as the many background programs that run without the user 's knowlede.",0
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier.",0
I guess the only good thing that came out of these were the speakers and the subwoofer.,1
Theres a built in camera with special effects- for video and photography.,0
All for such a great price.,0
Another thing is that after only a month the left mouse key broke and it costed $ 175 to send it in to fix it.,0
It has good speed and plenty of hard drive space.,0
Very long-life battery ( up to 10-11 hours depending on how you configure power level settings ).,0
The black model also has a very nice seamless appearance - one of the better looking notebooks I 've seen.,1
The technical service for dell is so 3rd world it might as well not even bother.,0
The graphics were awful and the warranty is n't even worth the cheap payment on the computer.,0
"They gave me a hard time yet again , but their was a malfunction in the battery itself , it did n't die.",0
"If you do n't feel comfortable doing it yourself , just buy the case and be happy , plus it looks nice , I bought the white one from Best Buy.",1
Excellent speed for processing data.,0
"It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming.",1
I was taught to use Photoshop and was amazed.,1
"The driver updates do n't fix the issue , very frustrating.",0
It doesnt work worth a damn.,0
It works really well.,0
"Bigger HD , better graphics card , and a bid HD.",0
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,0
The DVD burner broke after burning 3 DVD 'd during that time!,0
It works fine with our wireless and they 've had not problems.,0
Product support very poor as each phone call costs me long distan,0
"Overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves.",1
The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,1
It does not keep internet signals no matter where you bring it.,0
It 's a great product for a great price!,0
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,0
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen ) are great for those who are working non stop or just shopping online.,0
Keyboard good sized and easy to use.,0
wonderful features.,0
Im glad that it has such great features in it.,1
"WHEN TYPING , LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",0
"Only a few days after I received the computer back , the screen froze again.",0
It is not ideal for children because of the temp.,0
Although i do believe that Windows operating system may be to fault for some of the problems.,1
"Great OS , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",0
Images are crisp and clean.,0
although its windows vista compared to windows xp sucks.,0
"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well.",0
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,0
"Until I bought the Dell , I thought you just looked for what you wanted ( size , software , options , hardware ) and purchase the best deal you could find.",1
"It has plenty of memory , lots of hard drive , and great graphics.",0
"However , my girlfriend realized that the netbook 's hinge is a bit loose ( when you open or close the LCD ).",1
My problem was with DELL Customer Service.,0
"Newegg 's RMA service was great as always , I contacted them late Friday night , and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",1
Design : very durable.,0
It is easy to go from one keyboard to another.,0
My ONLY issues are : 1 ) the screen/video resolution wo n't increase to a higher resolution then 1024 x 60,1
"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and creating presentations.",1
"Quality Display I love HP , , it 's the only computer/printer we will buy.",1
"the features are great , the only thing it needs is better speakers.",0
I bought this laptop and found its TAB is not functioning.,1
"Called headquarters again , they report that TFT panel is broken , should be fixed by the end of the week ( week 3 )",0
"Navigation through the computer is far superior compared to Windows operating systems , as well.",0
"The screen is framed by half- to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the bulk.",0
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,1
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,0
and plenty of storage with 250 gb ( though I will upgrade this and the ram.. ),1
"Programs would crash all the time , and it turned out to be a very unstable , unreliable laptop for me.",1
"the key bindings take a little getting used to , but have loved the Macbook Pro.",0
Keyboard is reasonable size.,0
Fan noise : The fan made a constant hissing noise in the background.,0
"The screen is bright and clear , the operating system is solid and friendly to a novice.",0
It has a .1 ghz faster processor and a stock 500gb hard drive.,0
"`` This is n't a big deal , I have n't noticed the issue with DVDs or other media , only through USB output.",1
With Windows laptops a wireless mouse is an absolute must.,0
Very good quality and well made.,0
my niece and nephew have played a few web games and it runs anything that does n't require a dedicated video card.,0
It had the full sized touch pad with 2 buttons instead of just one.,0
"Typically , when I purchase a new laptop I always end up using an external mouse for convenience.",1
It was super easy to set up and Is really easy to get used to.,0
"The only thing that can be updated is the video , other than that you 're all set.",0
Its a good laptop for its value.,0
Then the hard drive failed;,0
of course my warranty runs out next month.,1
"I have found also , it is very easy to be able to access wireless internet access;",1
This is a great value for the money.,0
The battery has never worked well.,0
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,1
"Small enough to use on a long flight , Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",0
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,0
"It has many great programs , such as ILife , iPhotos and others.",0
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,1
The screen resolution was exactly what I was looking for.,1
"Even though it is running Snow Leopard , 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",0
There is no number pad to the right of the keyboard which is a bummer.,0
"If upgrade is possible to the full Windows 7 , then I will truly be a very happy geek.",1
"I was originally concerned that I could n't view work I had done in college on my Mac because of the PC formatting , but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",1
Runs fast and the regular layout keyboard is so much better.,0
"All the programs are easy and straight forward on my MacBook Pro , it is clean and organized , which I always strive to be myself.",1
"Windows 7 Starter is terrific ( no you ca n't change the background ) but I do n't need to , I use it just for school work.",1
Support has been lackluster and now I just want a refund.,1
`` > iPhoto is probably the best program I have ever worked with : easy and convenient.,1
I love to write and play with graphics and html programming and my new Toshiba works great on both!,1
My laptop now has no battery.,1
It made the computer much easier to use and navigate.,0
"Needs longer lasting battery , More than 1 to 2 Hrs.",0
in May I started having problems with the USB ports not working.,1
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,0
The Toshiba Net book operates very well.,0
"the touch pad is fine - again , it 's a real touch pad.",0
The pictures are clear as can be.,0
"It is also very lightweight , making transporting this computer very easy.",0
It 's wonderful for computer gaming.,0
"The flaws are , this computer is not for computer gamers because of the OS X.",0
They really do have the worlds very worst repair service.,0
I was also able to install and use my Photoshop and AfterEffects programs easily.,1
It 's perfect for everything and runs faster than an average pc!,0
Then after paying for it to be examined I was told it was same problem cited on website but I 'd have to pay anyways since it was past warrenty.,1
I 'm already hooked on the sleek look and dependability that this laptop has shown.,1
And having to deal with the company has been a even worse nightmare.,0
It has all the features that are necessary for college and if not they are able to be added onto the computer.,0
"I 've owned this labtop for less then two months , already the mouse button has broke.",1
"It did fairly well , other than it 's poor performance , overheating and occational blue screen.",0
lots of extra space but the keyboard is ridiculously small.,0
It 's so bad that I 'm thinking I only got half a battery or something.,1
"Good keyboard , long battery life , largest hard drive and windows 7.",0
The processor is very quick and effective as I load webpages and applications.,1
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,0
"It pretty much does everything we could ever need , and looks great to boot.",0
"As a lifelong Windows user , I was extremely pleased to make the change to Mac.",1
"The Macbook is also made better , my computer has never got a virus , and the laptop runs just as fast as the first day I bought it.",0
"I wiped nearly everything off of it , installed OpenOffice and Firefox , and I am operating an incredibly efficient and useful machine for a great price.",1
"Overall I feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work.",1
"I picked it out because it was inexpensive ( $ 400 ) and I thought it would be a good , easy to use first laptop.",1
MY ONLY PROBLEM IS I CAN NOT REG . THE PRODUCT KEY.,1
Sure it has the one touch keys but that was the best feature of the computer.,0
great battery life.,0
"At first , the computer seemed a great deal -- seemingly high-end specs for a low , low price.",0
Love the stability of the Mac software and operating system.,0
It 's also very capable of doing moderate video editing ( although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing ).,0
It has a faster processor and more ram.,0
"Would like more trendy , high tech features.",0
Keyboard is great but primary and secondary control buttons could be more durable.,0
"I got it back again and was told the motherboard had been replaced , so I was now on the SECOND motherboard within 3 months.",1
"Love the speed , especially!",0
"Not only are the versions of these programs able to be saved , worked on and opened on both a PC and Mac , the versions of these programs on a Mac are graphically and functionally superior.",0
"The speed gives you the power to work on these projects seamlessly , and multiple at a time if you sowish.",0
Awesome laptop and the perfect size to carry around in college.,0
My real problem with it ? The statement of 7 hour battery life is not just mere exaggeration -- it 's a lie.,1
The battery life is also relatively good.,0
"I have found it very easy to use , very informative , wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",1
"I do n't have stupid pop up windows ( even when I have pop ups blocked ) , I do n't have to wait 5 minutes for a webpage to download , and best of all I can run all the web programming software I need to use all at once without slowing me down.",1
"Memory is upgradable .####[([0], [2], 'POS')]",0
"Web access through the 3G network is so slow , it 's very frustrating and VERY DISAPPOINTING.",0
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,0
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,1
As well as having the plug in the computer come loose.,0
Second HDD cover has walls inside that need to be broken if you what to install one.,0
Great product by Apple with the new great looking design.,0
I love the keyboard.,1
"I use iphoto all the time , which is a great program for anyone who is into photography - amateurs and experts alike.",1
"Now , as easy as it is to use , and I do think it is a great STARTER laptop.",1
"Ever since I bought this laptop , so far I 've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",1
"Also , the space bar makes a noisy click every time you use it.",0
iPhotos is an excellent program for storing and organizing photos.,0
Other than that its a great performing machine and well meets all my needs and more.,0
"The programs are great , like iphoto ( love the editing capabilities ) , imail ( which can incorporate with the address book on the ipod and ipad ) , imovie , etc.",0
Comfortable to use light easy to transport.,0
The Computer itself is a good product but the repair depot stinks.,0
I thought the price was great for the specs.,1
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,1
"So , the hard disk capacity really does n't matter to me.",1
I also like that you can scroll down in a window using two fingers on the trackpad.,1
Everything from the design to the OS is simple and to the point.,0
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,1
This just keeps having it 's hard drive replaced!,0
"When you look at the specs on Apple products in comparison to a Dell or a HP , yes they do seem to offer less for a higher cost.",0
The only downfall is the volume control.,0
Very fast boot up and shut down.,0
I finally decided on this laptop because it was the right price for what I need it.,1
"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more , or buy a USB wireless card.",1
I had read online that some users were having sound problems.,1
It discharges too quickly.,0
"But to be honest , the compatibility issues and the other little quirks make me think I ll buy a PC next time.",1
Then it ceased charging at all.,0
"I do not experience a lot of heat coming out of it , however I would highly suggest purchasing a stand however , due to the nature of the design of the macbook as it is one very large heat sink.",1
"Webcam is a bit laggy , not the greatest.",0
I 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,1
Wonderful sleek case design is only on the outside.,0
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,0
The pricing is very competitive.,0
This computer is exceptionally thin for it 's screen size and processing power.,0
"Maybe this is virus related , maybe not , but the computer has locked up many times , and on two occasions , the screen has simply gone black.",0
"The screen is bright and vivid and the keyboard is very easy to use , very important for use quick typers.",0
"I had my IWORKS , Itunes , Email , MS Office , network and printers set up and completely working perfectly within an hour.",1
The macbooks are small enough to be very portable yet hold tons of information and performance.,0
The only downfall is a lot of the software I have wo n't work with Mac and iWork is not worth the price of it.,1
The mousepad is a huge pain in the arse!,0
since then i have had minor problems with slow operation.,1
Registration/1st use is easy.,0
Take your time and go through the tutorials patiently.,0
Keyboard could use some trimming.,0
"Returned laptop for repair a 2nd time and it came back with obvious physical damage ( keyboard bulging and speaker grill pressed in ) , buttons not working and USB ports inoperative.",0
The letter A stopped working after the first week.,0
"With what I do know how to do , the computer works beautiful.",1
"Most everything is fine with this machine : speed , capacity , build.",0
"I use this for my tutoring business , and since I 'm always bouncing from student to student , it is ideal for portability and battery life ( yes , it gets the 8 hours as advertised ! ).",1
It is in the best condition and has a really high quality.,0
When it come time for warranty service to Toshiba you do n't matter.,0
However the frozen screens kept happening.,0
"It is short on space , and downloads always had problems being completed , or were said to be 'corrupted '.",0
3 ) Horrible customer support,0
"Apple is always great about the aesthetics of things , they always come up with good looking products.",0
Runs smooth and quick.,0
The downside to this netbook is pretty much the same for any netbook : screen size is not something I 'd stare at for the entire 10-11 hours of battery life five days a week.,1
The graphics are great.,0
in 5 months the connect quality got worse and worse.,0
